"feature_of_interest_cv_num","feature_of_interest_cv_name","feature_of_interest_description"
122,"PITCAIRN-GAMBIER CHAIN","GEOGRAPH_LOC"
123,"MARQUESAS ISLANDS","GEOGRAPH_LOC"
124,"CERRO LOS MARTINEZ","GEOGRAPH_LOC"
125,"TEISHI KNOLL","GEOGRAPH_LOC"
126,"MATTHEW","GEOGRAPH_LOC"
127,"TONGA","GEOGRAPH_LOC"
128,"ATA","GEOGRAPH_LOC"
129,"GORELY","GEOGRAPH_LOC"
130,"SUPERIOR","GEOGRAPH_LOC"
131,"BOTSWANA","GEOGRAPH_LOC"
132,"MOUNT LEURA","GEOGRAPH_LOC"
133,"CERRO CUADRADO","GEOGRAPH_LOC"
134,"PASE DE LOS INDIOS","GEOGRAPH_LOC"
135,"PACHUGA FIELD","GEOGRAPH_LOC"
136,"GULF OF ALASKA","GEOGRAPH_LOC"
137,"THUMB","GEOGRAPH_LOC"
138,"LETSENG","GEOGRAPH_LOC"
139,"FINSCH","GEOGRAPH_LOC"
140,"WEST EIFEL","GEOGRAPH_LOC"
141,"BIRCH MOUNTAINS KIMBERLITE","GEOGRAPH_LOC"
142,"ROMANIA","GEOGRAPH_LOC"
143,"SAO FRANCISCO","GEOGRAPH_LOC"
144,"EGER","GEOGRAPH_LOC"
145,"CESKE STREDOHORI","GEOGRAPH_LOC"
146,"ADAGDAK","GEOGRAPH_LOC"
147,"EMPEROR","GEOGRAPH_LOC"
148,"DAIKAKUJI","GEOGRAPH_LOC"
149,"KOKO","GEOGRAPH_LOC"
150,"AZORES TRIPLE JUNCTION","GEOGRAPH_LOC"
151,"ERITREA","GEOGRAPH_LOC"
152,"CHARLES","GEOGRAPH_LOC"
153,"MORZHOVOI","GEOGRAPH_LOC"
154,"FROSTY PEAK","GEOGRAPH_LOC"
155,"SIMEON","GEOGRAPH_LOC"
156,"RYUKU","GEOGRAPH_LOC"
157,"DECEPTION","GEOGRAPH_LOC"
158,"SOLOMON","GEOGRAPH_LOC"
159,"SAVO","GEOGRAPH_LOC"
160,"GHIZO","GEOGRAPH_LOC"
161,"RENDOVA","GEOGRAPH_LOC"
162,"EAST ANTARCTIC","GEOGRAPH_LOC"
163,"IOTO","GEOGRAPH_LOC"
164,"SEAMOUNT 4","GEOGRAPH_LOC"
165,"DAYIZISHAN","GEOGRAPH_LOC"
166,"MCMURDO","GEOGRAPH_LOC"
167,"PYRENEAN","GEOGRAPH_LOC"
168,"TORO-ANKOLE","GEOGRAPH_LOC"
169,"BELE PIPE","GEOGRAPH_LOC"
170,"VIETNAM","GEOGRAPH_LOC"
171,"MOUNT GRIGGS","GEOGRAPH_LOC"
172,"CHANGLE","GEOGRAPH_LOC"
173,"PAGAN","GEOGRAPH_LOC"
174,"TOWER","GEOGRAPH_LOC"
175,"CHATHAM","GEOGRAPH_LOC"
176,"HOOD","GEOGRAPH_LOC"
177,"BOLIVIA","GEOGRAPH_LOC"
178,"SEGULA","GEOGRAPH_LOC"
179,"TRIDENT","GEOGRAPH_LOC"
180,"ILE DE CAILLE","GEOGRAPH_LOC"
181,"ABAGA","GEOGRAPH_LOC"
182,"CALCUTTEROO","GEOGRAPH_LOC"
183,"CHINOOK TROUGH","GEOGRAPH_LOC"
184,"KAVACHI","GEOGRAPH_LOC"
185,"PAYUN MATRU","GEOGRAPH_LOC"
186,"CANOPUS","GEOGRAPH_LOC"
187,"OGLIUGA","GEOGRAPH_LOC"
188,"BARRINGTON","GEOGRAPH_LOC"
189,"SOCORRO ISLAND","GEOGRAPH_LOC"
190,"ANTUCO","GEOGRAPH_LOC"
191,"MOUNT SCHANK","GEOGRAPH_LOC"
192,"KUEIPI","GEOGRAPH_LOC"
193,"ANYUAN","GEOGRAPH_LOC"
194,"CELEBES","GEOGRAPH_LOC"
195,"LIQHOBONG","GEOGRAPH_LOC"
196,"BUFFALO HILLS","GEOGRAPH_LOC"
197,"MUSKOX KIMBERLITE","GEOGRAPH_LOC"
198,"45","GEOGRAPH_LOC"
199,"LOLOBAU","GEOGRAPH_LOC"
200,"BROKEN","GEOGRAPH_LOC"
201,"NATURALISTE","GEOGRAPH_LOC"
202,"KUNASHIR","GEOGRAPH_LOC"
203,"ITURUP","GEOGRAPH_LOC"
204,"BETIC RIF TELL","GEOGRAPH_LOC"
205,"WEST ANTARCTIC","GEOGRAPH_LOC"
206,"BEAUFORT","GEOGRAPH_LOC"
207,"GURSKOY","GEOGRAPH_LOC"
208,"TAROSERO","GEOGRAPH_LOC"
209,"LOOLMURWAK","GEOGRAPH_LOC"
210,"BURKO","GEOGRAPH_LOC"
211,"CAPE RANGE","GEOGRAPH_LOC"
212,"TROODOS","GEOGRAPH_LOC"
213,"TURKEY","GEOGRAPH_LOC"
214,"UNST","GEOGRAPH_LOC"
215,"RAOBAZHAI ULTRAMAFIC BODY","GEOGRAPH_LOC"
216,"QILIN PIPE","GEOGRAPH_LOC"
217,"SVECOFENNIAN DOMAIN","GEOGRAPH_LOC"
218,"JINING","GEOGRAPH_LOC"
219,"CHIFENG","GEOGRAPH_LOC"
220,"ARAIS","GEOGRAPH_LOC"
221,"PACIFIC","GEOGRAPH_LOC"
222,"AMERICAN-ANTARCTIC RIDGE","GEOGRAPH_LOC"
223,"RED","GEOGRAPH_LOC"
224,"JUAN DE FUCA RIDGE","GEOGRAPH_LOC"
225,"CENTRAL INDIAN RIDGE","GEOGRAPH_LOC"
226,"MID-CAYMAN RISE","GEOGRAPH_LOC"
227,"ERIC SIMPSON","GEOGRAPH_LOC"
228,"ISLAS ORCADAS","GEOGRAPH_LOC"
229,"MOK","GEOGRAPH_LOC"
230,"DUGONG VOLCANO","GEOGRAPH_LOC"
231,"SOUTHERN","GEOGRAPH_LOC"
232,"KNIPOVICH RIDGE","GEOGRAPH_LOC"
233,"GORDA RIDGE","GEOGRAPH_LOC"
234,"LUCKY STRIKE","GEOGRAPH_LOC"
235,"EICKELBERG","GEOGRAPH_LOC"
236,"ECUADOR","GEOGRAPH_LOC"
237,"TJOERNES TRANSFORM FAULT","GEOGRAPH_LOC"
238,"ISABELA","GEOGRAPH_LOC"
239,"KLINGON","GEOGRAPH_LOC"
240,"LOUISVILLE 34","GEOGRAPH_LOC"
241,"CHILE","GEOGRAPH_LOC"
242,"JUAN FERNANDEZ MICROPLATE","GEOGRAPH_LOC"
243,"COBB","GEOGRAPH_LOC"
244,"LARSON","GEOGRAPH_LOC"
245,"NORWEGIAN","GEOGRAPH_LOC"
246,"PATTON","GEOGRAPH_LOC"
247,"HODGKINS","GEOGRAPH_LOC"
248,"DENSON","GEOGRAPH_LOC"
249,"PARKS","GEOGRAPH_LOC"
250,"SPRINGFIELD","GEOGRAPH_LOC"
251,"BRANSFIELD STRAIT","GEOGRAPH_LOC"
252,"DAITO","GEOGRAPH_LOC"
253,"TEREVAKA TRANSFORM FAULT","GEOGRAPH_LOC"
254,"MASCARIN","GEOGRAPH_LOC"
255,"HAEY","GEOGRAPH_LOC"
256,"ROCKALL","GEOGRAPH_LOC"
257,"COLORADO","GEOGRAPH_LOC"
258,"TANZANIA","GEOGRAPH_LOC"
259,"NAVAJO","GEOGRAPH_LOC"
260,"MULE EAR","GEOGRAPH_LOC"
261,"BIG PINE","GEOGRAPH_LOC"
262,"COSTA RICA","GEOGRAPH_LOC"
263,"MACAULEY","GEOGRAPH_LOC"
264,"LAS LAJAS","GEOGRAPH_LOC"
265,"POAS","GEOGRAPH_LOC"
266,"MOUNT DOOM","GEOGRAPH_LOC"
267,"BUNGO","GEOGRAPH_LOC"
268,"GERMANY","GEOGRAPH_LOC"
269,"DEAD SEA","GEOGRAPH_LOC"
270,"OMAN","GEOGRAPH_LOC"
271,"TALAMANCAS","GEOGRAPH_LOC"
272,"TAJUMULCO","GEOGRAPH_LOC"
273,"GRANADA","GEOGRAPH_LOC"
274,"CERRO NEGRO","GEOGRAPH_LOC"
275,"CUKRA HILL","GEOGRAPH_LOC"
276,"COSIGUINA","GEOGRAPH_LOC"
277,"NEJAPA","GEOGRAPH_LOC"
278,"SAMOA","GEOGRAPH_LOC"
279,"RECHESCHNOI","GEOGRAPH_LOC"
280,"BERING","GEOGRAPH_LOC"
281,"UGANDA","GEOGRAPH_LOC"
282,"NEW ZEALAND","GEOGRAPH_LOC"
283,"AOBA","GEOGRAPH_LOC"
284,"TRANS-MEXICAN","GEOGRAPH_LOC"
285,"ATHERTON","GEOGRAPH_LOC"
286,"TURRIALBA","GEOGRAPH_LOC"
287,"NORTHERN","GEOGRAPH_LOC"
288,"HAKATEKA CHAIN","GEOGRAPH_LOC"
289,"KAAPVAAL","GEOGRAPH_LOC"
290,"LAPLACE","GEOGRAPH_LOC"
291,"WEGENER","GEOGRAPH_LOC"
292,"LINNE RIDGE","GEOGRAPH_LOC"
293,"CELSIUS","GEOGRAPH_LOC"
294,"PLANCK","GEOGRAPH_LOC"
295,"SIERRA NEVADA","GEOGRAPH_LOC"
296,"BIG CREEK VOLCANIC PIPE","GEOGRAPH_LOC"
297,"VITIM VOLCANIC RIFT","GEOGRAPH_LOC"
298,"FARM LOUWRENCIA","GEOGRAPH_LOC"
299,"UDACHNAYA PIPE","GEOGRAPH_LOC"
300,"MIR PIPE","GEOGRAPH_LOC"
301,"NORTH AFRICAN","GEOGRAPH_LOC"
302,"MONDULI","GEOGRAPH_LOC"
303,"NIKOLSKI","GEOGRAPH_LOC"
304,"ADAK","GEOGRAPH_LOC"
305,"NINETYEAST RIDGE","GEOGRAPH_LOC"
306,"PERU","GEOGRAPH_LOC"
307,"CHRISTMAS","GEOGRAPH_LOC"
308,"SEAMOUNT_CHAIN","GEOGRAPH_LOC"
309,"LOIHI","GEOGRAPH_LOC"
310,"RAROTONGA","GEOGRAPH_LOC"
311,"ANATAHAN","GEOGRAPH_LOC"
312,"MARSHALL","GEOGRAPH_LOC"
313,"HOLLISTER","GEOGRAPH_LOC"
314,"EAST OTHRIS","GEOGRAPH_LOC"
315,"GREENLAND","GEOGRAPH_LOC"
316,"HAVRE TROUGH","GEOGRAPH_LOC"
317,"SARAH CENTRAL","GEOGRAPH_LOC"
318,"KO-HIYOSHI","GEOGRAPH_LOC"
319,"FUKUTOKU","GEOGRAPH_LOC"
320,"MAKHALNAS","GEOGRAPH_LOC"
321,"MYOJIN","GEOGRAPH_LOC"
322,"TANGAROA","GEOGRAPH_LOC"
323,"XILONG","GEOGRAPH_LOC"
324,"HERALD","GEOGRAPH_LOC"
325,"KOROVIN","GEOGRAPH_LOC"
326,"RODRIGUES","GEOGRAPH_LOC"
327,"EAST KUNLUN","GEOGRAPH_LOC"
328,"QINGHAI-TIBET","GEOGRAPH_LOC"
329,"BAGEL","GEOGRAPH_LOC"
330,"HALF-MOON","GEOGRAPH_LOC"
331,"HOOK","GEOGRAPH_LOC"
332,"EYE","GEOGRAPH_LOC"
333,"JAVA","GEOGRAPH_LOC"
334,"BISMARCK ARCHIPELAGO","GEOGRAPH_LOC"
335,"NEW HEBRIDES","GEOGRAPH_LOC"
336,"SANTIAGO","GEOGRAPH_LOC"
337,"GREAT SITKIN","GEOGRAPH_LOC"
338,"AMAK","GEOGRAPH_LOC"
339,"WESTDAHL","GEOGRAPH_LOC"
340,"CAROLINE ISLANDS","GEOGRAPH_LOC"
341,"AGROMOSA","GEOGRAPH_LOC"
342,"LATE","GEOGRAPH_LOC"
343,"KISKA","GEOGRAPH_LOC"
344,"KAUAI","GEOGRAPH_LOC"
345,"TALLANTE","GEOGRAPH_LOC"
346,"ONTONG JAVA","GEOGRAPH_LOC"
347,"CERRO DEL MOJON","GEOGRAPH_LOC"
348,"PRINDLE","GEOGRAPH_LOC"
349,"EAST EIFEL","GEOGRAPH_LOC"
350,"PERIDOT MESA","GEOGRAPH_LOC"
351,"DEMOCRATIC REPUBLIC OF THE CONGO","GEOGRAPH_LOC"
352,"CENTRAL ASIAN","GEOGRAPH_LOC"
353,"GUIANIAN","GEOGRAPH_LOC"
354,"NORTH AMERICAN","GEOGRAPH_LOC"
355,"ATTAWAPISKAT","GEOGRAPH_LOC"
