"feature_of_interest_cv_num","feature_of_interest_cv_name","feature_of_interest_description"
535,"RUSSELL ISLANDS","GEOGRAPH_LOC"
536,"PAVUVU","GEOGRAPH_LOC"
537,"DAMAPING","GEOGRAPH_LOC"
538,"HARRAT AL-BIRK","GEOGRAPH_LOC"
539,"MUTNOVSKY","GEOGRAPH_LOC"
540,"AUKENA","GEOGRAPH_LOC"
541,"THOMAS","GEOGRAPH_LOC"
542,"CYPRUS","GEOGRAPH_LOC"
543,"KOHINGGO","GEOGRAPH_LOC"
544,"WEST MATA","GEOGRAPH_LOC"
545,"LAGES","GEOGRAPH_LOC"
546,"KAZIMIRO","GEOGRAPH_LOC"
547,"VISOKE","GEOGRAPH_LOC"
548,"EASTERN AUSTRALIA","GEOGRAPH_LOC"
549,"AZORES PLATFORM","GEOGRAPH_LOC"
550,"GRACIOSA","GEOGRAPH_LOC"
551,"ISLANDS OF FOUR MOUNTAINS","GEOGRAPH_LOC"
552,"CHUGINADAK","GEOGRAPH_LOC"
553,"INGENSTREM","GEOGRAPH_LOC"
554,"MAKIRA","GEOGRAPH_LOC"
555,"GUADALCANAL","GEOGRAPH_LOC"
556,"BALTRA","GEOGRAPH_LOC"
557,"NORTH SEYMOUR","GEOGRAPH_LOC"
558,"PINZON","GEOGRAPH_LOC"
559,"SVERREFJELL","GEOGRAPH_LOC"
560,"3438-6","GEOGRAPH_LOC"
561,"SAN FRANCISCO PEAKS","GEOGRAPH_LOC"
562,"CERRO REDONDO","GEOGRAPH_LOC"
563,"SWITZERLAND","GEOGRAPH_LOC"
564,"BURTON","GEOGRAPH_LOC"
565,"SHEMYA","GEOGRAPH_LOC"
566,"SNOWY MOUNTAIN","GEOGRAPH_LOC"
567,"DEVILS DESK","GEOGRAPH_LOC"
568,"ICHINSKY","GEOGRAPH_LOC"
569,"KHARCHINSKY","GEOGRAPH_LOC"
570,"IZU OSHIMA","GEOGRAPH_LOC"
571,"OMURO","GEOGRAPH_LOC"
572,"KRASHENINNIKOV","GEOGRAPH_LOC"
573,"MOUNT MISERY","GEOGRAPH_LOC"
574,"QILIN","GEOGRAPH_LOC"
575,"KAMCHATSKY MYS","GEOGRAPH_LOC"
576,"TORRE ALFINA","GEOGRAPH_LOC"
577,"LORENA BUTTE","GEOGRAPH_LOC"
578,"HUANGYISHAN","GEOGRAPH_LOC"
579,"PREMIER","GEOGRAPH_LOC"
580,"DECCAN TRAP","GEOGRAPH_LOC"
581,"HALVDANPIGGEN","GEOGRAPH_LOC"
582,"RANTALA","GEOGRAPH_LOC"
583,"TUTUILA","GEOGRAPH_LOC"
584,"BROUGHTONA","GEOGRAPH_LOC"
585,"MATUA","GEOGRAPH_LOC"
586,"BANKS ISLANDS","GEOGRAPH_LOC"
587,"MOUNT GARET","GEOGRAPH_LOC"
588,"FLEMSOY","GEOGRAPH_LOC"
589,"RANONGGA","GEOGRAPH_LOC"
590,"VOYKAR","GEOGRAPH_LOC"
591,"SHETLAND","GEOGRAPH_LOC"
592,"CUBAN","GEOGRAPH_LOC"
593,"METEOR","GEOGRAPH_LOC"
594,"HOROKANAI","GEOGRAPH_LOC"
595,"ATLANTIC","GEOGRAPH_LOC"
596,"ARCTIC","GEOGRAPH_LOC"
597,"SOUTHEAST INDIAN RIDGE","GEOGRAPH_LOC"
598,"MARIANA TROUGH","GEOGRAPH_LOC"
599,"CLIPPERTON","GEOGRAPH_LOC"
600,"CLARION","GEOGRAPH_LOC"
601,"INDOMED","GEOGRAPH_LOC"
602,"ARGO","GEOGRAPH_LOC"
603,"GIBBS","GEOGRAPH_LOC"
604,"NEW","GEOGRAPH_LOC"
605,"DTD","GEOGRAPH_LOC"
606,"SALAS Y GOMEZ","GEOGRAPH_LOC"
607,"EASTER","GEOGRAPH_LOC"
608,"SCOTT ISLAND","GEOGRAPH_LOC"
609,"LORD HOWE RISE","GEOGRAPH_LOC"
610,"SMEAGOL","GEOGRAPH_LOC"
611,"15 DEG 20","GEOGRAPH_LOC"
612,"PACIFIC-RIVERA","GEOGRAPH_LOC"
613,"ROCAS ALIJOS","GEOGRAPH_LOC"
614,"BEN","GEOGRAPH_LOC"
615,"DISCOVERY II","GEOGRAPH_LOC"
616,"HECKLE","GEOGRAPH_LOC"
617,"LOUISVILLE 32","GEOGRAPH_LOC"
618,"NEW HEBRIDES ","GEOGRAPH_LOC"
619,"DAVIDSON","GEOGRAPH_LOC"
620,"HANISH-ZUKUR GROUP","GEOGRAPH_LOC"
621,"PANAMA","GEOGRAPH_LOC"
622,"ROTA-1","GEOGRAPH_LOC"
623,"ASAL (ARDOUKOBA) RIFT","GEOGRAPH_LOC"
624,"PETROV","GEOGRAPH_LOC"
625,"MENDOCINO RIDGE","GEOGRAPH_LOC"
626,"EASTERN","GEOGRAPH_LOC"
627,"ZEEWOLF","GEOGRAPH_LOC"
628,"OCP RIDGE","GEOGRAPH_LOC"
629,"USA","GEOGRAPH_LOC"
630,"GREGORY","GEOGRAPH_LOC"
631,"MOUNT GLOOSCAP","GEOGRAPH_LOC"
632,"SAINT PAUL","GEOGRAPH_LOC"
633,"HAWAII","GEOGRAPH_LOC"
634,"ASCENSION","GEOGRAPH_LOC"
635,"CERRO COLORADO","GEOGRAPH_LOC"
636,"TONGA-KERMADEC","GEOGRAPH_LOC"
637,"TELICA","GEOGRAPH_LOC"
638,"TENORIO","GEOGRAPH_LOC"
639,"RICHARDSON","GEOGRAPH_LOC"
640,"PACIFIC-IZANAGI RIDGE","GEOGRAPH_LOC"
641,"OCARINA KNOLL","GEOGRAPH_LOC"
642,"AYU TROUGH","GEOGRAPH_LOC"
643,"KOMAHASHI-DAINI","GEOGRAPH_LOC"
644,"SAN QUINTIN","GEOGRAPH_LOC"
645,"LESOTHO","GEOGRAPH_LOC"
646,"MOROCCO","GEOGRAPH_LOC"
647,"CIGUATEPE","GEOGRAPH_LOC"
648,"COLOMBIA","GEOGRAPH_LOC"
649,"PEARL LAGOON","GEOGRAPH_LOC"
650,"CONCEPCION","GEOGRAPH_LOC"
651,"BALHAF BIR ALI","GEOGRAPH_LOC"
652,"HAINAN","GEOGRAPH_LOC"
653,"SNAKE RIVER PLAIN","GEOGRAPH_LOC"
654,"NAMIBIA","GEOGRAPH_LOC"
655,"MAUNA LOA","GEOGRAPH_LOC"
656,"UMU CHAIN","GEOGRAPH_LOC"
657,"CANADA","GEOGRAPH_LOC"
658,"NEWTON","GEOGRAPH_LOC"
659,"GREEN KNOBS","GEOGRAPH_LOC"
660,"NIKOS KIMBERLITE","GEOGRAPH_LOC"
661,"JERICHO","GEOGRAPH_LOC"
662,"WYOMING","GEOGRAPH_LOC"
663,"MONOWAI","GEOGRAPH_LOC"
664,"KANAGA","GEOGRAPH_LOC"
665,"HIGO","GEOGRAPH_LOC"
666,"PASTEUR","GEOGRAPH_LOC"
667,"AEOLIAN","GEOGRAPH_LOC"
668,"MEXICAN VOLCANIC BELT","GEOGRAPH_LOC"
669,"MONTE ARCI","GEOGRAPH_LOC"
670,"MANGAIA","GEOGRAPH_LOC"
671,"RAKAHORE","GEOGRAPH_LOC"
672,"PARICUTIN","GEOGRAPH_LOC"
673,"CHAGOS","GEOGRAPH_LOC"
674,"HOTTA","GEOGRAPH_LOC"
675,"MIT GUYOT","GEOGRAPH_LOC"
676,"LIMALOK GUYOT","GEOGRAPH_LOC"
677,"SHACKLETON","GEOGRAPH_LOC"
678,"POKI CHAIN","GEOGRAPH_LOC"
679,"ZIMBABWE","GEOGRAPH_LOC"
680,"RIMATARA","GEOGRAPH_LOC"
681,"KOOLAU","GEOGRAPH_LOC"
682,"TARAWERA","GEOGRAPH_LOC"
683,"MARTINEZ","GEOGRAPH_LOC"
684,"RUMBLE II","GEOGRAPH_LOC"
685,"FUEGO","GEOGRAPH_LOC"
686,"BUZEN","GEOGRAPH_LOC"
687,"DAIKOKU","GEOGRAPH_LOC"
688,"EIFUKU","GEOGRAPH_LOC"
689,"AHYI","GEOGRAPH_LOC"
690,"FUKUYAMA","GEOGRAPH_LOC"
691,"KASUGA","GEOGRAPH_LOC"
692,"ALLISON","GEOGRAPH_LOC"
693,"MARSABIT","GEOGRAPH_LOC"
694,"DARWIN","GEOGRAPH_LOC"
695,"HORSESHOE","GEOGRAPH_LOC"
696,"BOXER","GEOGRAPH_LOC"
697,"SCHRIPPE","GEOGRAPH_LOC"
698,"IO JIMA","GEOGRAPH_LOC"
699,"LESSER ANTILLES","GEOGRAPH_LOC"
700,"MOUNT MOFFETT","GEOGRAPH_LOC"
701,"ULIAGA","GEOGRAPH_LOC"
702,"UNIMAK","GEOGRAPH_LOC"
703,"BELLSBANK","GEOGRAPH_LOC"
704,"URACAS","GEOGRAPH_LOC"
705,"GRENADA","GEOGRAPH_LOC"
706,"TANNA","GEOGRAPH_LOC"
707,"LOMBOK","GEOGRAPH_LOC"
708,"SAINT VINCENT","GEOGRAPH_LOC"
709,"COOK ISLANDS","GEOGRAPH_LOC"
710,"CAMEROON","GEOGRAPH_LOC"
711,"NGAOUNDERE","GEOGRAPH_LOC"
712,"TRES LAGOS","GEOGRAPH_LOC"
713,"BALTIC SHIELD","GEOGRAPH_LOC"
714,"ATAQ","GEOGRAPH_LOC"
715,"HUNGARY","GEOGRAPH_LOC"
716,"SAPPHIRE HILL","GEOGRAPH_LOC"
717,"MOUNT SHADWELL","GEOGRAPH_LOC"
718,"LAKE EACHAM","GEOGRAPH_LOC"
719,"PATTON MURRAY","GEOGRAPH_LOC"
720,"CROZET ISLANDS","GEOGRAPH_LOC"
721,"KAALVALLEI","GEOGRAPH_LOC"
722,"SALTA","GEOGRAPH_LOC"
723,"SIERRA LEONE","GEOGRAPH_LOC"
724,"TARIAT","GEOGRAPH_LOC"
725,"ROCKESKYLLERKOPF","GEOGRAPH_LOC"
726,"MEERFELDER","GEOGRAPH_LOC"
727,"ANDREW BAY","GEOGRAPH_LOC"
728,"DETROIT","GEOGRAPH_LOC"
729,"SUIKO","GEOGRAPH_LOC"
730,"MEIJI","GEOGRAPH_LOC"
731,"SITE 69","GEOGRAPH_LOC"
732,"FJOERTOFT","GEOGRAPH_LOC"
733,"SAN FRANCISCO","GEOGRAPH_LOC"
734,"NORTH AMERICAN CORDILLERA","GEOGRAPH_LOC"
735,"SEMISOPOCHNOI","GEOGRAPH_LOC"
736,"LIPARI","GEOGRAPH_LOC"
737,"VELLA LAVELLA","GEOGRAPH_LOC"
738,"KOLOMBANGARA","GEOGRAPH_LOC"
739,"NEW GEORGIA","GEOGRAPH_LOC"
740,"HANNUOBA","GEOGRAPH_LOC"
741,"ALEPPO PLATEAU","GEOGRAPH_LOC"
742,"DENMARK","GEOGRAPH_LOC"
743,"TEAHITIA","GEOGRAPH_LOC"
744,"MOUA PIHAA","GEOGRAPH_LOC"
745,"CYANA","GEOGRAPH_LOC"
746,"MOUNT PORNDON","GEOGRAPH_LOC"
747,"EAST AFRICAN RIFT","GEOGRAPH_LOC"
748,"PARAGUAY","GEOGRAPH_LOC"
749,"TRISTAN DA CUNHA GROUP","GEOGRAPH_LOC"
750,"ETENDEKA TRAPS","GEOGRAPH_LOC"
751,"MONTIFEERO ","GEOGRAPH_LOC"
752,"TRANSDANUBIAN","GEOGRAPH_LOC"
753,"NOSY SAKATIA","GEOGRAPH_LOC"
754,"NOSY BE","GEOGRAPH_LOC"
755,"PHILIPPINE SEA","GEOGRAPH_LOC"
756,"SPURR","GEOGRAPH_LOC"
757,"2 DEG-4 DEG N","GEOGRAPH_LOC"
758,"SANGUMBURI","GEOGRAPH_LOC"
759,"SAINT  KITTS AND NEVIS","GEOGRAPH_LOC"
760,"METIS SHOAL","GEOGRAPH_LOC"
761,"SANGEANG API","GEOGRAPH_LOC"
762,"ANAK KRAKATAU","GEOGRAPH_LOC"
763,"MERCADERES","GEOGRAPH_LOC"
764,"CENTRAL AFRICAN REPUBLIC","GEOGRAPH_LOC"
765,"SLOVAKIA","GEOGRAPH_LOC"
766,"RETROARC","GEOGRAPH_LOC"
767,"TROMEN","GEOGRAPH_LOC"
768,"NORTH ARCH","GEOGRAPH_LOC"
769,"CARIBOU CREEK","GEOGRAPH_LOC"
770,"AMCHITKA","GEOGRAPH_LOC"
771,"SKAGUL","GEOGRAPH_LOC"
772,"TANAGA","GEOGRAPH_LOC"
773,"CARIBBEAN-COLOMBIAN","GEOGRAPH_LOC"
774,"MOUNT MIHARA","GEOGRAPH_LOC"
775,"POPOCATEPETL","GEOGRAPH_LOC"
776,"LUZON","GEOGRAPH_LOC"
777,"NOORAT","GEOGRAPH_LOC"
778,"MENGYIN","GEOGRAPH_LOC"
779,"PANSHISHAN","GEOGRAPH_LOC"
780,"ISRAEL","GEOGRAPH_LOC"
781,"MINGXI","GEOGRAPH_LOC"
782,"KILAUEA","GEOGRAPH_LOC"
783,"JAGERSFONTEIN","GEOGRAPH_LOC"
784,"BRITISH ISLES","GEOGRAPH_LOC"
785,"VITYAZ","GEOGRAPH_LOC"
786,"SEITAPERA","GEOGRAPH_LOC"
787,"SHUANGLIAO","GEOGRAPH_LOC"
788,"BOBOTUSHAN","GEOGRAPH_LOC"
789,"BROKEN RIDGE","GEOGRAPH_LOC"
790,"GRAND TERRE","GEOGRAPH_LOC"
791,"S.P. LEE GUYOT","GEOGRAPH_LOC"
792,"CATHAYSIA BLOCK","GEOGRAPH_LOC"
793,"HUOSHAOSHAN","GEOGRAPH_LOC"
794,"QILIAN","GEOGRAPH_LOC"
795,"KON TUM","GEOGRAPH_LOC"
796,"ZENITH","GEOGRAPH_LOC"
797,"WALLABY","GEOGRAPH_LOC"
798,"CRETE","GEOGRAPH_LOC"
799,"CZECH REPUBLIC","GEOGRAPH_LOC"
800,"LEKA","GEOGRAPH_LOC"
801,"IRAN","GEOGRAPH_LOC"
802,"MERU","GEOGRAPH_LOC"
803,"RUM","GEOGRAPH_LOC"
804,"LUOBUSHA","GEOGRAPH_LOC"
805,"ZEDANG","GEOGRAPH_LOC"
806,"SYRIAN","GEOGRAPH_LOC"
807,"SPITSBERGEN","GEOGRAPH_LOC"
808,"ANITA PERIDOTITE MASSIF","GEOGRAPH_LOC"
809,"HARRAT KISHB","GEOGRAPH_LOC"
810,"MID-ATLANTIC RIDGE","GEOGRAPH_LOC"
811,"WOODLARK","GEOGRAPH_LOC"
812,"TUZO WILSON","GEOGRAPH_LOC"
813,"EXPLORER","GEOGRAPH_LOC"
814,"BULLARD","GEOGRAPH_LOC"
815,"ATLANTIS II","GEOGRAPH_LOC"
816,"FOUNDATION","GEOGRAPH_LOC"
817,"WARWICK","GEOGRAPH_LOC"
818,"FLINT","GEOGRAPH_LOC"
819,"ADAMS","GEOGRAPH_LOC"
820,"OLD PACIFICS","GEOGRAPH_LOC"
821,"PACIFIC FARALLON RIDGE","GEOGRAPH_LOC"
822,"ENDEAVOUR","GEOGRAPH_LOC"
823,"ALCEDO","GEOGRAPH_LOC"
824,"LOUISVILLE 33","GEOGRAPH_LOC"
825,"BOWIE","GEOGRAPH_LOC"
826,"KODIAK-BOWIE","GEOGRAPH_LOC"
827,"RAITT TRANSFORM FAULT","GEOGRAPH_LOC"
828,"PURITY","GEOGRAPH_LOC"
829,"SAN BENEDICTO","GEOGRAPH_LOC"
830,"HENDERSON","GEOGRAPH_LOC"
831,"PINTA","GEOGRAPH_LOC"
832,"JAN MAYEN","GEOGRAPH_LOC"
833,"BOOMERANG","GEOGRAPH_LOC"
834,"MARION","GEOGRAPH_LOC"
835,"GRIMSEY","GEOGRAPH_LOC"
836,"CAMPBELL","GEOGRAPH_LOC"
837,"USUGARAN","GEOGRAPH_LOC"
838,"TASMANIA","GEOGRAPH_LOC"
839,"RINCON","GEOGRAPH_LOC"
840,"MADERAS","GEOGRAPH_LOC"
841,"AGULHAS RIDGE","GEOGRAPH_LOC"
842,"MARSILI","GEOGRAPH_LOC"
843,"KERGUELEN","GEOGRAPH_LOC"
844,"KILBOURNE HOLE","GEOGRAPH_LOC"
845,"DREISER WEIHER","GEOGRAPH_LOC"
846,"BAIKAL","GEOGRAPH_LOC"
847,"AUSTRIA","GEOGRAPH_LOC"
848,"SPAIN","GEOGRAPH_LOC"
849,"EL VALLE","GEOGRAPH_LOC"
850,"IZALCO","GEOGRAPH_LOC"
851,"PRECHATO","GEOGRAPH_LOC"
852,"RAIVAVAE","GEOGRAPH_LOC"
853,"ETHIOPIA","GEOGRAPH_LOC"
854,"RWANDA","GEOGRAPH_LOC"
855,"OAHU","GEOGRAPH_LOC"
856,"CONGO","GEOGRAPH_LOC"
857,"HURUHURI CHAIN","GEOGRAPH_LOC"
858,"RYONA","GEOGRAPH_LOC"
859,"GHANA","GEOGRAPH_LOC"
860,"GUINEA","GEOGRAPH_LOC"
861,"ARISTOTELIS","GEOGRAPH_LOC"
862,"SCHROEDINGER","GEOGRAPH_LOC"
863,"PLATON","GEOGRAPH_LOC"
864,"KISITE","GEOGRAPH_LOC"
865,"ITALY","GEOGRAPH_LOC"
866,"SEGUAM","GEOGRAPH_LOC"
867,"CAPE VERDE","GEOGRAPH_LOC"
868,"FITZROY","GEOGRAPH_LOC"
869,"CORDILLERA","GEOGRAPH_LOC"
870,"HONSHU","GEOGRAPH_LOC"
871,"DRIFTERS","GEOGRAPH_LOC"
872,"RURU","GEOGRAPH_LOC"
873,"YOUNG RURUTU","GEOGRAPH_LOC"
874,"GREECE","GEOGRAPH_LOC"
875,"JOBAN","GEOGRAPH_LOC"
876,"TAKUYO-DAISAN","GEOGRAPH_LOC"
877,"LO-EN","GEOGRAPH_LOC"
878,"MEDNY","GEOGRAPH_LOC"
879,"CONICAL","GEOGRAPH_LOC"
880,"MOTASTEPE","GEOGRAPH_LOC"
881,"INDIA","GEOGRAPH_LOC"
882,"NW URACAS","GEOGRAPH_LOC"
883,"DEVONPORT EAST","GEOGRAPH_LOC"
884,"RUMBLE V","GEOGRAPH_LOC"
885,"TECUAMBURRO","GEOGRAPH_LOC"
886,"RED CRATER","GEOGRAPH_LOC"
887,"L'ESPERANCE","GEOGRAPH_LOC"
888,"ATIAMURI","GEOGRAPH_LOC"
889,"7 DEGREE EAST","GEOGRAPH_LOC"
890,"PITON DE LA FOURNAISE","GEOGRAPH_LOC"
891,"ALPINE-APENNINE","GEOGRAPH_LOC"
892,"EGG","GEOGRAPH_LOC"
893,"GUARDIAN","GEOGRAPH_LOC"
894,"FLOREANA","GEOGRAPH_LOC"
895,"MOUNT SIMEON","GEOGRAPH_LOC"
896,"REVILLAGIGEDO ARCHIPELAGO","GEOGRAPH_LOC"
897,"BONIN ARC","GEOGRAPH_LOC"
898,"POYO","GEOGRAPH_LOC"
899,"LAS CUMBRES","GEOGRAPH_LOC"
900,"BANDERA CRATER","GEOGRAPH_LOC"
901,"JORDAN","GEOGRAPH_LOC"
902,"LITTLE HUNGARIAN PLAIN","GEOGRAPH_LOC"
903,"PAPUA NEW GUINEA","GEOGRAPH_LOC"
904,"SHIPROCK","GEOGRAPH_LOC"
905,"MOTHAE","GEOGRAPH_LOC"
906,"STROMBOLI","GEOGRAPH_LOC"
907,"TAUPO","GEOGRAPH_LOC"
908,"DUNCAN","GEOGRAPH_LOC"
909,"WEDDELL","GEOGRAPH_LOC"
910,"HEBI","GEOGRAPH_LOC"
911,"ICHINOMEGATA","GEOGRAPH_LOC"
912,"MAKAPU","GEOGRAPH_LOC"
913,"CANADIAN ARCTIC ARCHIPELAGO","GEOGRAPH_LOC"
914,"OGCHEON","GEOGRAPH_LOC"
915,"FOSTER CRATER","GEOGRAPH_LOC"
916,"KAULA","GEOGRAPH_LOC"
917,"SEAMOUNT NO 3","GEOGRAPH_LOC"
918,"CIRCUM-PARANA","GEOGRAPH_LOC"
919,"GOUGH CHAIN","GEOGRAPH_LOC"
920,"KYAMBU","GEOGRAPH_LOC"
921,"VIRUNGA","GEOGRAPH_LOC"
922,"BOBROF","GEOGRAPH_LOC"
923,"UKINREK","GEOGRAPH_LOC"
924,"ALAMAGAN","GEOGRAPH_LOC"
925,"SERRETA","GEOGRAPH_LOC"
926,"CIMA","GEOGRAPH_LOC"
927,"ALBEMARLE","GEOGRAPH_LOC"
928,"MARCHENA","GEOGRAPH_LOC"
929,"MARCHAND","GEOGRAPH_LOC"
930,"PIPE","GEOGRAPH_LOC"
931,"BUZZARD CREEK","GEOGRAPH_LOC"
932,"PICO","GEOGRAPH_LOC"
933,"MOUNT KLIUCHEF","GEOGRAPH_LOC"
934,"KURIL-KAMCHATKA","GEOGRAPH_LOC"
935,"VITI LEVU","GEOGRAPH_LOC"
936,"KLYUCHEVSKOY","GEOGRAPH_LOC"
937,"VENIAMINOF","GEOGRAPH_LOC"
938,"TURON DE TECOUERE","GEOGRAPH_LOC"
939,"PLAZAS","GEOGRAPH_LOC"
940,"GAMCHEN","GEOGRAPH_LOC"
941,"SCHMIDT","GEOGRAPH_LOC"
942,"UINKARET","GEOGRAPH_LOC"
943,"HERBERT","GEOGRAPH_LOC"
944,"SABA","GEOGRAPH_LOC"
945,"VILLARICA","GEOGRAPH_LOC"
946,"LIHIR","GEOGRAPH_LOC"
947,"BALURAN","GEOGRAPH_LOC"
948,"PINATUBO","GEOGRAPH_LOC"
949,"PICO DE ORIZABA","GEOGRAPH_LOC"
950,"EASTERN ANATOLIAN","GEOGRAPH_LOC"
951,"BATAN","GEOGRAPH_LOC"
952,"MIDDLE ATLAS","GEOGRAPH_LOC"
953,"KAREM MAHARAL","GEOGRAPH_LOC"
954,"SIMCOE","GEOGRAPH_LOC"
955,"MOSES ROCK","GEOGRAPH_LOC"
956,"CHUDLEIGH","GEOGRAPH_LOC"
957,"WANGQING","GEOGRAPH_LOC"
958,"RASSHUA","GEOGRAPH_LOC"
959,"GAUA","GEOGRAPH_LOC"
960,"FOYN","GEOGRAPH_LOC"
961,"KETUMBEINE","GEOGRAPH_LOC"
962,"LETLHAKANE PIPE","GEOGRAPH_LOC"
963,"CURACAO","GEOGRAPH_LOC"
964,"TAURIDES","GEOGRAPH_LOC"
965,"CUBA","GEOGRAPH_LOC"
966,"SVALBARD","GEOGRAPH_LOC"
967,"AGULHAS-FALKLAND","GEOGRAPH_LOC"
968,"NORTHERN DISCOVERY","GEOGRAPH_LOC"
969,"PITON DE FOURNAISE","GEOGRAPH_LOC"
970,"KOMANDORSKY","GEOGRAPH_LOC"
971,"JEAN CHARCOT TROUGH","GEOGRAPH_LOC"
972,"EAST PACIFIC RISE","GEOGRAPH_LOC"
973,"SUMISU","GEOGRAPH_LOC"
974,"MARIE CELESTE","GEOGRAPH_LOC"
975,"MIB","GEOGRAPH_LOC"
976,"SAN MARCOS","GEOGRAPH_LOC"
977,"LE PETIT PRINCE","GEOGRAPH_LOC"
978,"GULF OF CALIFORNIA","GEOGRAPH_LOC"
979,"MOHNS RIDGE","GEOGRAPH_LOC"
980,"SLOTH","GEOGRAPH_LOC"
981,"MELVILLE","GEOGRAPH_LOC"
982,"LOUISVILLE 35","GEOGRAPH_LOC"
983,"PARECE VELA ","GEOGRAPH_LOC"
984,"ATLANTIS","GEOGRAPH_LOC"
985,"JAN MAYEN PLATFORM RIDGE","GEOGRAPH_LOC"
986,"DICKENS","GEOGRAPH_LOC"
987,"AMAMAI","GEOGRAPH_LOC"
988,"SHAKA","GEOGRAPH_LOC"
989,"TROPIC","GEOGRAPH_LOC"
990,"WEST COCOS","GEOGRAPH_LOC"
991,"KURCHATOV","GEOGRAPH_LOC"
992,"PITO","GEOGRAPH_LOC"
993,"PACIFIC-NAZCA RIDGE","GEOGRAPH_LOC"
994,"SUNRAY","GEOGRAPH_LOC"
995,"SARAH NORTH","GEOGRAPH_LOC"
996,"MATAHOURUA","GEOGRAPH_LOC"
997,"JOSEPH MAYES","GEOGRAPH_LOC"
998,"FERNANDINA","GEOGRAPH_LOC"
999,"IZU-BONIN","GEOGRAPH_LOC"
1000,"BONIN RIDGE","GEOGRAPH_LOC"
1001,"AUSTRALIA","GEOGRAPH_LOC"
1002,"BARBA","GEOGRAPH_LOC"
1003,"MOMOTOMBO","GEOGRAPH_LOC"
1004,"SHONA RIDGE","GEOGRAPH_LOC"
1005,"TYRRHENIAN","GEOGRAPH_LOC"
1006,"MIYAZALI","GEOGRAPH_LOC"
1007,"FRANCE","GEOGRAPH_LOC"
1008,"DEVES","GEOGRAPH_LOC"
1009,"SAN BERNADINO","GEOGRAPH_LOC"
1010,"MATSOKU","GEOGRAPH_LOC"
1011,"BOQUERON","GEOGRAPH_LOC"
1012,"ARENAL","GEOGRAPH_LOC"
1013,"LA PROVIDENCIA","GEOGRAPH_LOC"
1014,"SERBIA","GEOGRAPH_LOC"
1015,"MALUMALU","GEOGRAPH_LOC"
1016,"OKMOK","GEOGRAPH_LOC"
1017,"KENYAN","GEOGRAPH_LOC"
1018,"KENYA","GEOGRAPH_LOC"
1019,"VANUATU","GEOGRAPH_LOC"
1020,"CASCADE RANGE","GEOGRAPH_LOC"
1021,"TAOS PLATEAU","GEOGRAPH_LOC"
1022,"SUNDA","GEOGRAPH_LOC"
1023,"OROSI","GEOGRAPH_LOC"
1024,"TOROKO CHAIN","GEOGRAPH_LOC"
1025,"NIILONSUO","GEOGRAPH_LOC"
1026,"WEST AFRICAN","GEOGRAPH_LOC"
1027,"MOHOROVICIC","GEOGRAPH_LOC"
1028,"AMPERE","GEOGRAPH_LOC"
1029,"MENDEL","GEOGRAPH_LOC"
1030,"PAULING","GEOGRAPH_LOC"
1031,"RICHTER","GEOGRAPH_LOC"
1032,"IWO JIMA","GEOGRAPH_LOC"
1033,"LAC DE GRAS","GEOGRAPH_LOC"
1034,"PATAGONIA","GEOGRAPH_LOC"
1035,"BIG CREEK","GEOGRAPH_LOC"
1036,"ALGERIA","GEOGRAPH_LOC"
1037,"MANZAZ","GEOGRAPH_LOC"
1038,"HOMESTEAD","GEOGRAPH_LOC"
1039,"NORTHERN MARIANA ISLANDS","GEOGRAPH_LOC"
1040,"HYUGA","GEOGRAPH_LOC"
1041,"COSO","GEOGRAPH_LOC"
1042,"SUMATRA","GEOGRAPH_LOC"
1043,"LIGURIA-SARDO-TYRRHENIAN","GEOGRAPH_LOC"
1044,"MAUNA KEA","GEOGRAPH_LOC"
1045,"BALD MOUNTAIN","GEOGRAPH_LOC"
1046,"SOROL TROUGH","GEOGRAPH_LOC"
1047,"HINEPUIA","GEOGRAPH_LOC"
1048,"OLD RURUTU","GEOGRAPH_LOC"
1049,"AUGUSTINE","GEOGRAPH_LOC"
1050,"ESMERALDA BANK","GEOGRAPH_LOC"
1051,"MALDIVES","GEOGRAPH_LOC"
1052,"NAZARETH BANK","GEOGRAPH_LOC"
1053,"HOTU MATUA CHAIN","GEOGRAPH_LOC"
1054,"SOUTH CHAMORRO","GEOGRAPH_LOC"
1055,"HARRY JOHNSON","GEOGRAPH_LOC"
1056,"SARIGAN","GEOGRAPH_LOC"
1057,"SARAH WEST","GEOGRAPH_LOC"
1058,"NIKKO","GEOGRAPH_LOC"
1059,"EASTER SALAS Y GOMEZ","GEOGRAPH_LOC"
1060,"RAMAD","GEOGRAPH_LOC"
1061,"YINGFENGLING","GEOGRAPH_LOC"
1062,"WHAKATANE","GEOGRAPH_LOC"
1063,"CERRO QUEMADO","GEOGRAPH_LOC"
1064,"TRIG9474","GEOGRAPH_LOC"
1065,"KONIUJI","GEOGRAPH_LOC"
1066,"HADAR","GEOGRAPH_LOC"
1067,"YANGTZE","GEOGRAPH_LOC"
1068,"AMMONIT","GEOGRAPH_LOC"
1069,"OJO","GEOGRAPH_LOC"
1070,"VANUATU ARCHIPELAGO","GEOGRAPH_LOC"
1071,"WOLF","GEOGRAPH_LOC"
1072,"SANTA CRUZ","GEOGRAPH_LOC"
1073,"DESVENTURADOS ISLANDS","GEOGRAPH_LOC"
